Date,Hour,Offense_Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,Number_offenses
1/1/16,15,Theft,18F50,Mall Common Area,7500-7599,BELLAIRE,BLVD,-,1
1/1/16,16,Auto Theft,18F50,Driveway,9600-9699,MEADOWBRIAR,LN,-,1
1/1/16,17,Theft,18F50,Bar or Night Club Parking Lot,9300-9399,RICHMOND,AVE,-,1
1/1/16,13,Theft,18F50,Strip Business Center Parking Lot,5600-5699,HILLCROFT,-,-,1
1/1/16,12,Auto Theft,18F50,Residence or House,3400-3499,DUNVALE,RD,-,1
1/1/16,11,Theft,19G10,Grocery Store or Supermarket Parking Lot,8200-8299,SAM HOUSTON,PKWY,W,1
1/1/16,11,Theft,19G10,Department or Discount Store,9400-9499,SAM HOUSTON,PKWY,W,2
1/1/16,10,Theft,19G10,Apartment,10000-10099,GREENFORK,DR,-,1
1/1/16,10,Theft,19G10,Apartment Parking Lot,8800-8899,BOONE,RD,-,1
1/1/16,8,Robbery,19G10,Strip Business Center Parking Lot,10300-10399,CLUB CREEK,DR,-,1
1/1/16,3,Theft,19G10,Convenience Store,10900-10999,BEECHNUT,ST,-,1
1/1/16,14,Theft,19G10,Clothing Store,10800-10899,BEECHNUT,ST,-,1
1/1/16,23,Theft,19G10,Grocery Store or Supermarket Parking Lot,10100-10199,BEECHNUT,ST,-,1
1/1/16,22,Theft,19G10,Department or Discount Store,9400-9499,SAM HOUSTON,PKWY,W,1
1/1/16,21,Aggravated Assault,19G20,Apartment,4400-4499,BOONE,RD,-,1
1/1/16,16,Theft,19G20,Restaurant or Cafeteria Parking Lot,12100-12199,BELLAIRE,BLVD,-,1
1/1/16,7,Burglary,19G20,Barber And Beauty Shops,7600-7699,BOONE,RD,-,1
1/1/16,8,Theft,19G20,"Road, Street, or Sidewalk",11100-11199,SANDS POINT,DR,-,1
1/1/16,10,Auto Theft,19G30,"Road, Street, or Sidewalk",6800-6899,GREENWAY CHASE,ST,-,1
1/1/16,20,Murder,19G30,Restaurant or Cafeteria Parking Lot,12300-12399,BELLAIRE,BLVD,-,1
1/1/16,19,Aggravated Assault,19G30,Other Parking Lot,13100-13199,BELLAIRE,BLVD,-,1
1/1/16,17,Burglary,19G40,Condominium,12300-12399,DAIRY ASHFORD,-,S,1
1/1/16,10,Theft,19G40,Apartment Parking Lot,9700-9799,COURT GLEN,DR,-,1
1/1/16,13,Theft,19G40,Apartment,11700-11799,BELLFORT,ST,W,1
1/1/16,12,Theft,19G50,Apartment Parking Lot,10200-10299,FORUM WEST,DR,-,1
1/1/16,11,Burglary,19G50,Apartment,10400-10499,SOUTH,DR,-,1
1/1/16,6,Theft,19G50,Apartment Parking Lot,11600-11699,BELLFORT,ST,W,1
1/1/16,2,Theft,1A10,Other Parking Lot,400-499,TRAVIS,-,-,1
1/1/16,14,Theft,1A10,"Theatres, Dinner Theaters, Auditoriums",700-799,MAIN,ST,-,1
1/1/16,22,Theft,1A10,Commercial Parking Lot or Garage,1800-1899,TRAVIS,-,-,1
1/1/16,19,Theft,1A20,Restaurant or Cafeteria Parking Lot,1000-1099,WESTHEIMER,RD,-,1
1/1/16,21,Theft,1A20,Garage or Carport,700-799,MARSHALL,-,-,1
1/1/16,15,Theft,1A20,"Road, Street, or Sidewalk",1300-1399,DALLAS,ST,W,1
1/1/16,18,Theft,1A20,Restaurant or Cafeteria Parking Lot,1000-1099,FAIRVIEW,ST,-,1
1/1/16,4,Theft,1A20,Bar or Night Club,UNK,HADLEY,ST,-,1
1/1/16,0,Aggravated Assault,1A20,"Other, Unknown, or Not Listed",1600-1699,ALLEN,PKWY,-,1
1/1/16,0,Theft,1A20,"Road, Street, or Sidewalk",2300-2399,MORGAN,-,-,1
1/1/16,11,Theft,1A20,"Road, Street, or Sidewalk",2400-2499,LOUISIANA,ST,-,1
1/1/16,11,Theft,1A30,,2600-2699,COMMONWEALTH,-,-,1
1/1/16,17,Robbery,1A30,"Road, Street, or Sidewalk",2000-2099,SUL ROSS,-,-,1
1/1/16,16,Theft,1A30,"Road, Street, or Sidewalk",2600-2699,YUPON,-,-,1
1/1/16,19,Theft,1A30,Strip Business Center Parking Lot,2300-2399,ALABAMA,ST,W,1
1/1/16,20,Theft,1A30,Restaurant or Cafeteria Parking Lot,1200-1299,WESTHEIMER,RD,-,1
1/1/16,22,Theft,1A30,Restaurant or Cafeteria Parking Lot,3800-3899,SHEPHERD,DR,S,1
1/1/16,7,Auto Theft,1A40,Residence or House,3200-3299,HUNTINGDON PLACE,-,-,1
1/1/16,11,Theft,1A50,Apartment Parking Lot,2600-2699,BISSONNET,ST,-,1
1/1/16,9,Burglary,1A50,Restaurant or Cafeteria Parking Lot,2700-2799,BISSONNET,ST,-,1
