Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
5/27/16,12,Theft,20G40,Garage or Carport,1700-1799,CRYSTAL HILLS,DR,-,1
5/27/16,12,Auto Theft,20G40,Apartment Parking Lot,2300-2399,CRESCENT PARK,DR,-,1
5/24/16,2,Theft,20G40,Miscellaneous Business (Non-Specific),1300-1399,DAIRY ASHFORD ROAD,-,S,1
5/25/16,23,Aggravated Assault,20G40,Residence or House,11800-11899,WARWICKSHIRE,CT,-,1
5/20/16,13,Burglary,20G40,Apartment,11200-11299,OLYMPIA,DR,-,1
5/22/16,11,Theft,20G40,Apartment Parking Lot,12400-12499,OVERBROOK,LN,-,1
5/22/16,8,Theft,20G40,Apartment Parking Lot,12400-12499,OVERBROOK,LN,-,1
5/23/16,19,Burglary,20G40,Apartment,11700-11799,SOUTHLAKE,DR,-,1
5/23/16,18,Burglary,20G40,Apartment,2400-2499,KIRKWOOD,DR,S,1
5/23/16,21,Burglary,20G40,Apartment,2100-2199,HAYES,-,-,1
5/23/16,17,Burglary,20G40,Residence or House,11900-11999,SUMMERDALE,DR,-,1
5/23/16,11,Aggravated Assault,20G40,"Road, Street, or Sidewalk",12600-12699,WESTMERE,DR,-,1
5/23/16,11,Theft,20G40,Driveway,12900-12999,WESTELLA,-,-,1
5/7/16,10,Auto Theft,20G40,Apartment Parking Lot,2600-2699,WOODLAND PARK,DR,-,1
5/7/16,15,Theft,20G40,"Parks and Recreation, Zoo, Swimming Pool",1000-1099,DAIRY ASHFORD ROAD,-,S,1
5/7/16,16,Theft,20G40,Apartment Parking Lot,2600-2699,WOODLAND PARK,DR,-,1
5/9/16,10,Theft,20G40,Driveway,11400-11499,LAKESIDE PLACE,DR,-,1
5/9/16,12,Theft,20G40,Residence or House,11400-11499,DEL MONTE,DR,-,1
5/9/16,6,Burglary,20G40,Residence or House,12900-12999,WESTLEIGH,DR,-,1
5/9/16,18,Theft,20G40,Vehicle/Auto Sales/Lease/Auto Parts Store,1400-1499,BROOKLAKE,DR,E,1
5/9/16,19,Theft,20G40,"Road, Street, or Sidewalk",1600-1699,PRAIRIE MARK,LN,-,1
5/9/16,16,Burglary,20G40,Residence or House,11800-11899,DREXELBROOK,DR,-,1
5/6/16,12,Theft,20G40,Apartment,11600-11699,BRIAR FOREST,DR,-,1
5/6/16,21,Burglary,20G40,Apartment,2100-2199,HAYES,-,-,1
5/5/16,12,Theft,20G40,"Road, Street, or Sidewalk",1500-1599,PRAIRIE GROVE,DR,-,1
5/4/16,10,Theft,20G40,Residence or House,11900-11999,BRIAR FOREST,DR,-,1
5/4/16,11,Theft,20G40,"Road, Street, or Sidewalk",1500-1599,PRAIRIE GROVE,DR,-,1
5/5/16,7,Burglary,20G40,Garage or Carport,1600-1699,CRYSTAL HILLS,DR,-,1
5/3/16,19,Theft,20G40,Apartment Parking Lot,11200-11299,BRIAR FOREST,DR,-,1
5/3/16,19,Burglary,20G40,Apartment,12500-12599,PIPING ROCK,DR,-,1
5/4/16,0,Theft,20G40,Apartment Parking Lot,11200-11299,BRIAR FOREST,DR,-,1
5/3/16,15,Auto Theft,20G40,Apartment Parking Lot,2100-2199,BENTWORTH,DR,-,1
5/3/16,9,Theft,20G40,Residence or House,11600-11699,FIELDBROOK,DR,-,1
5/3/16,0,Theft,20G40,Apartment Parking Lot,11200-11299,BRIAR FOREST,DR,-,1
5/3/16,8,Theft,20G40,"Other, Unknown, or Not Listed",11200-11299,LYNBROOK,DR,-,1
5/1/16,20,Aggravated Assault,20G40,"Road, Street, or Sidewalk",12100-12199,ELLA LEE,LN,-,1
5/1/16,20,Aggravated Assault,20G40,Residence or House,2100-2199,WOODLAND SPRINGS,DR,-,1
5/1/16,20,Theft,20G40,Apartment Parking Lot,11700-11799,SOUTHLAKE,DR,-,1
5/2/16,10,Burglary,20G40,Residence or House,12700-12799,EMSWORTH,CIR,-,1
5/2/16,8,Burglary,20G40,Residence or House,2200-2299,HAYES,-,-,1
5/17/16,14,Theft,20G40,Miscellaneous Business (Non-Specific),12500-12599,BRIAR FOREST,DR,-,1
5/18/16,7,Theft,20G40,Apartment Parking Lot,12900-12999,BRIAR FOREST,DR,-,1
5/18/16,8,Theft,20G40,Apartment Parking Lot,12900-12999,BRIAR FOREST,DR,-,1
5/18/16,8,Theft,20G40,Apartment,2200-2299,HAYES,-,-,1
5/18/16,8,Burglary,20G40,Apartment,12500-12599,PIPING ROCK,DR,-,1
5/18/16,17,Burglary,20G40,Apartment,2200-2299,HAYES,-,-,1
5/18/16,16,Aggravated Assault,20G40,Apartment Parking Lot,11200-11299,OLYMPIA,DR,-,1
5/19/16,0,Robbery,20G40,Apartment Parking Lot,2400-2499,KIRKWOOD,DR,S,1
5/18/16,22,Burglary,20G40,Residence or House,1500-1599,BRADNEY,DR,-,1
5/19/16,15,Theft,20G40,Apartment,12900-12999,BRIAR FOREST,DR,-,1
5/19/16,18,Burglary,20G40,Residence or House,2200-2299,WOODLAND PARK,DR,-,1
5/19/16,20,Burglary,20G40,Apartment,2400-2499,KIRKWOOD,DR,S,1
5/19/16,8,Burglary,20G40,Residence or House,1500-1599,BRADNEY,DR,-,1
5/14/16,21,Aggravated Assault,20G40,Apartment,12200-12299,OVERBROOK,LN,-,1
5/15/16,15,Aggravated Assault,20G40,Apartment Parking Lot,2300-2399,HAYES,-,-,2
5/16/16,12,Burglary,20G40,Residence or House,1700-1799,MOSSY STONE,DR,-,1
5/16/16,12,Burglary,20G40,Apartment,2200-2299,HAYES,-,-,1
5/16/16,11,Auto Theft,20G40,Apartment Parking Lot,2300-2399,CRESCENT PARK,DR,-,1
5/16/16,14,Burglary,20G40,Apartment,2300-2399,CRESCENT PARK,DR,-,1
5/15/16,20,Theft,20G40,Other Parking Lot,2000-2099,WOODLAND SPRINGS,DR,-,1
5/15/16,19,Burglary,20G40,Apartment,11200-11299,OLYMPIA,DR,-,1
5/15/16,17,Theft,20G40,Bus Stop,2200-2299,HAYES,-,-,1
5/16/16,21,Burglary,20G40,Apartment,2200-2299,HAYES,-,-,1
5/16/16,17,Burglary,20G40,Apartment,2100-2199,HAYES,-,-,1
5/16/16,18,Robbery,20G40,Apartment,2200-2299,HAYES,-,-,1
5/13/16,13,Theft,20G40,Apartment Parking Lot,12900-12999,BRIAR FOREST,DR,-,1
